Pairs,Frequency,Dates
2-15,7,"2019/6/6,2019/5/23,2018/6/16,2016/12/3,2016/1/28,2015/1/20,2009/1/10"
7-21-59,2,"2014/10/23,2014/1/30"
2-68-77-81-83-84,1,2009/7/30
33-42-56,2,"2020/7/2,2010/10/21"
52-88,11,"2021/11/11,2019/4/11,2019/2/2,2018/12/10,2018/3/17,2017/4/18,2015/12/28,2015/10/31,2014/2/25,2013/1/22,2011/11/19"
49-51-60,2,"2017/1/26,2011/12/9"
37-52-53,2,"2020/8/27,2014/5/27"
1-7-25-40-68-75,1,2018/6/19
31-48-65,2,"2017/11/2,2014/7/1"
7-56-70,2,"2017/6/6,2013/9/3"
7-25-75,2,"2018/6/19,2016/5/5"
4-5-22-48,2,"2019/12/3,2009/8/25"
54-80,11,"2022/5/12,2020/5/14,2018/12/1,2018/9/29,2017/7/8,2015/11/24,2015/1/17,2013/8/29,2011/3/22,2010/10/19,2010/9/14"
2-29,4,"2019/7/20,2011/9/10,2011/8/16,2009/3/31"
12-46-47,2,"2021/9/16,2009/7/2"
32-42-71,2,"2015/8/11,2011/3/1"
42-55-90,3,"2022/5/28,2011/3/1,2010/4/13"
9-20-35,2,"2016/5/21,2015/9/15"
28-70,4,"2022/10/6,2022/7/9,2021/3/13,2014/3/25"
9-21-90,2,"2017/2/23,2009/1/13"
25-52-54,2,"2016/5/12,2014/4/10"
3-36-82,2,"2019/3/5,2016/5/7"
18-20-46-54-57-65,1,2010/9/28
15-34-73,3,"2019/8/27,2018/11/22,2009/12/19"
40-43-56,2,"2021/6/24,2009/10/13"
37-80,5,"2020/8/6,2020/1/4,2019/2/2,2016/3/12,2012/3/8"
37-79-86,2,"2015/4/16,2014/4/5"
9-83,13,"2021/1/16,2018/11/20,2017/2/11,2016/9/13,2016/6/9,2015/1/13,2012/10/9,2012/6/16,2011/8/27,2010/10/2,2010/6/22,2009/12/19,2009/10/10"
8-41-46,2,"2017/11/9,2016/1/14"
2-62,8,"2018/3/24,2018/3/3,2018/1/23,2017/7/13,2017/1/7,2014/10/4,2011/6/21,2009/4/9"
39-66,5,"2022/3/10,2020/12/19,2019/1/10,2014/3/18,2012/3/24"
23-65-67,2,"2013/7/13,2011/7/28"
5-6-29-43-66-74,1,2011/6/28
1-70,12,"2020/12/7,2020/11/7,2019/1/3,2017/5/18,2016/7/7,2015/8/17,2015/7/21,2014/5/6,2013/9/3,2013/6/13,2009/10/8,2009/7/28"
41-67,9,"2022/3/19,2021/10/16,2021/2/2,2020/8/20,2018/4/24,2016/9/29,2014/9/4,2012/11/20,2011/10/27"
17-40-55,2,"2021/8/26,2018/2/17"
17-41-87,2,"2016/1/14,2014/1/9"
48-62,4,"2022/3/24,2018/2/24,2013/10/26,2009/4/18"
5-7-85,2,"2015/3/19,2014/4/24"
13-18-25-26-35-61,1,2015/7/30
17-66-86,2,"2022/7/5,2016/8/30"
16-30-51,3,"2019/4/13,2018/8/21,2009/11/17"
5-19-82,3,"2021/2/4,2020/8/4,2018/1/4"
1-66,5,"2022/7/2,2016/8/27,2013/4/11,2011/10/8,2009/12/17"
25-31-88,2,"2015/7/7,2014/12/27"
22-66,9,"2021/10/7,2018/3/8,2017/2/21,2016/9/13,2014/7/31,2013/5/23,2012/1/10,2011/4/7,2009/11/3"
11-26,8,"2022/10/1,2020/3/3,2019/6/13,2017/7/13,2017/3/4,2016/2/9,2013/8/20,2011/9/29"
27-29-59,2,"2015/11/17,2014/1/28"
37-73,8,"2022/5/10,2019/8/27,2018/12/10,2017/7/15,2017/5/20,2009/11/21,2009/11/12,2009/10/24"
47-74-77,2,"2013/5/14,2010/1/14"
52-71,9,"2018/5/15,2018/4/26,2018/1/25,2016/2/25,2013/6/20,2013/3/30,2012/12/27,2012/10/2,2011/11/8"
43-86,7,"2022/4/7,2020/5/5,2018/1/18,2015/4/16,2014/6/26,2013/9/24,2012/1/31"
27-40-82,3,"2021/2/4,2009/11/14,2009/7/21"
30-49-85,2,"2021/9/11,2016/6/21"
45-51-89,2,"2021/1/26,2018/2/1"
56-72,14,"2022/7/12,2021/2/18,2020/9/5,2018/9/20,2017/11/21,2016/12/1,2016/7/14,2016/5/14,2016/3/19,2015/2/24,2014/4/1,2013/10/22,2011/12/10,2011/4/26"
19-26-67,2,"2010/2/20,2009/8/29"
9-52,6,"2021/2/16,2020/11/26,2020/9/15,2015/9/19,2012/4/10,2009/10/10"
47-70,11,"2021/12/28,2021/2/11,2019/10/8,2018/9/4,2017/5/18,2015/7/18,2013/8/10,2013/7/30,2012/12/6,2010/2/27,2010/1/2"
15-36-39-50-57-76,1,2014/9/20
28-68-84,2,"2016/8/23,2012/9/22"
4-17-39-40-50-58,1,2017/3/9
6-69-78,2,"2015/5/26,2010/8/14"
7-35-52-85-88-90,1,2018/3/17
18-69-85,2,"2020/11/5,2016/9/1"
41-55-69,2,"2016/11/10,2011/5/17"
6-45-85,2,"2012/5/22,2010/4/24"
49-74,8,"2022/8/2,2022/3/22,2022/2/15,2016/2/13,2015/10/1,2011/8/13,2010/9/21,2009/12/3"
5-38-56-76-77-89,1,2012/5/15
29-56-66,2,"2022/7/23,2009/6/27"
29-55-73,2,"2016/3/29,2009/10/15"
2-11-26-62-74-78,1,2017/7/13
16-22-30,2,"2019/4/13,2012/1/26"
21-29,7,"2022/8/6,2021/4/24,2020/2/4,2018/10/25,2015/11/5,2014/6/17,2009/7/28"
2-13-90,2,"2017/10/14,2015/1/10"
6-17-18-42-64-71,1,2019/4/27
27-32-51,3,"2022/4/12,2016/3/8,2012/1/17"
5-9-26,2,"2020/12/17,2020/8/17"
16-19-29-34-48-64,1,2009/1/2
6-73,11,"2022/1/15,2021/12/18,2021/9/9,2020/9/19,2020/6/18,2017/5/20,2015/5/2,2014/2/1,2013/2/12,2010/5/25,2009/10/24"
78-81,7,"2022/1/4,2020/6/27,2017/7/29,2016/11/15,2016/10/15,2012/4/24,2011/10/13"
30-65,3,"2022/9/22,2021/6/22,2020/3/17"
17-45-84,2,"2017/1/14,2011/2/17"
44-65-74,2,"2018/8/2,2009/1/27"
6-19-45,2,"2011/9/15,2011/7/2"
57-80,8,"2020/3/10,2020/1/4,2019/8/10,2019/7/4,2016/10/1,2015/5/28,2012/6/28,2010/10/19"
14-79-82,2,"2018/8/11,2014/9/11"
4-7-74,2,"2014/1/14,2011/1/3"
17-27-40-72-86-87,1,2021/6/3
29-50-56,2,"2018/5/12,2010/4/8"
34-48-87,2,"2015/2/28,2010/3/4"
53-64-90,2,"2021/10/12,2012/9/29"
49-58,9,"2021/4/27,2018/12/20,2014/3/11,2012/7/21,2011/7/9,2011/6/14,2011/6/4,2010/2/18,2009/10/31"
21-40-50,2,"2021/7/24,2011/5/5"
32-49-72,3,"2022/10/27,2011/8/2,2010/10/26"
37-52-88,2,"2019/2/2,2018/12/10"
13-18-19-27-50-69,1,2014/6/12
11-47,11,"2021/5/18,2021/4/22,2018/7/19,2016/12/20,2015/4/18,2012/3/31,2011/10/6,2011/6/23,2010/8/5,2009/3/24,2009/2/10"
45-50-86,2,"2015/8/18,2010/7/20"
15-31-82,3,"2014/12/27,2014/7/5,2009/11/14"
9-64,9,"2022/2/22,2018/5/31,2017/6/27,2016/9/10,2016/8/16,2013/7/6,2013/2/2,2011/4/19,2010/5/27"
5-10-52-60-85-88,1,2019/4/11
32-39,6,"2021/3/2,2020/12/5,2018/9/8,2015/5/16,2013/3/5,2012/8/9"
24-59-81,2,"2015/1/24,2009/11/10"
12-61-79,2,"2019/11/23,2014/2/6"
36-83-85,2,"2016/9/27,2015/4/2"
44-67,10,"2022/4/26,2019/12/24,2019/12/7,2018/4/26,2018/4/24,2017/8/12,2016/9/29,2015/5/19,2012/6/5,2011/6/4"
43-48-49-51-60-75,1,2017/1/26
31-45,9,"2018/3/15,2016/12/17,2016/9/24,2016/6/21,2014/6/14,2012/5/22,2011/7/21,2010/12/7,2009/5/2"
32-77,9,"2022/4/21,2022/4/12,2022/1/20,2021/3/2,2019/6/13,2017/1/3,2015/5/7,2015/2/12,2009/11/26"
39-50-62,2,"2020/12/19,2018/10/11"
59-84,9,"2022/8/16,2020/12/28,2019/10/1,2018/9/11,2016/5/12,2015/4/21,2013/6/22,2013/2/26,2011/6/16"
1-6-45,3,"2018/3/31,2016/10/22,2012/5/22"
6-33-35-64-66-77,1,2009/5/26
6-44-67,2,"2017/8/12,2015/5/19"
8-26-39-56-78-85,1,2015/4/27
3-5,11,"2022/8/27,2021/8/31,2018/11/17,2017/8/10,2016/5/28,2014/5/13,2013/10/24,2013/8/19,2012/8/18,2011/10/1,2011/9/3"
2-10-12-21-22-50,1,2018/8/16
48-54,7,"2017/6/8,2014/7/19,2013/12/23,2013/5/21,2010/6/15,2010/5/20,2009/5/23"
29-53-72,2,"2020/1/16,2010/10/28"
25-47-79-87,2,"2019/10/8,2012/10/4"
15-52-86,2,"2021/3/25,2011/1/22"
24-32,11,"2022/5/24,2022/3/12,2018/1/23,2017/6/15,2015/10/15,2013/6/20,2013/6/18,2013/2/14,2011/5/19,2009/11/10,2009/2/12"
47-58-71,2,"2013/3/21,2011/3/10"
11-21-62,2,"2010/1/21,2009/12/29"
30-59,6,"2021/6/22,2021/5/11,2017/7/25,2015/2/10,2013/8/22,2012/7/26"
6-9-24-49-78-79,1,2014/10/16
25-45-82,2,"2020/8/4,2015/9/29"
52-65-89,2,"2018/3/8,2017/3/2"
24-68-72,2,"2020/2/11,2018/1/27"
17-55,11,"2021/8/26,2021/8/12,2018/6/23,2018/2/20,2018/2/17,2017/10/17,2017/10/7,2015/8/8,2013/7/9,2010/1/30,2009/1/17"
4-21-59-63-65-83,1,2019/1/31
60-73,5,"2021/11/13,2021/9/18,2017/5/6,2014/5/6,2010/5/25"
2-20,7,"2022/5/21,2017/6/24,2016/11/17,2015/7/25,2013/7/20,2009/4/14,2009/3/31"
25-39-59,3,"2020/12/28,2018/9/8,2017/12/14"
34-89,8,"2021/1/26,2017/3/2,2016/8/2,2016/4/12,2015/8/4,2014/4/12,2012/4/3,2009/9/17"
1-10-26-40-64-88,1,2020/7/9
64-75-80,2,"2011/9/13,2010/8/21"
1-13-17-29-54-63,1,2012/11/29
7-11-34,2,"2011/10/20,2010/7/29"
15-26-39,2,"2022/8/9,2012/12/15"
16-42,7,"2019/12/28,2019/7/30,2018/11/6,2017/11/25,2013/12/7,2011/12/3,2010/12/4"
13-28-65,3,"2020/8/18,2019/4/9,2010/8/26"
15-43-49,3,"2017/1/31,2012/10/27,2010/5/4"
21-26-35,4,"2022/2/3,2019/1/17,2017/5/30,2016/11/5"
11-65,4,"2022/7/14,2019/1/29,2017/11/2,2015/6/20"
6-42-83,2,"2017/7/11,2016/4/14"
1-52-64,2,"2019/1/3,2009/3/19"
31-51-55-66-73-78,1,2013/11/28
30-78-80,3,"2020/12/1,2020/7/25,2019/11/2"
15-17-24-41-70-87,1,2014/1/9
35-47-54-68-71-78,1,2012/1/3
43-79,10,"2021/10/30,2021/3/13,2019/9/17,2018/7/24,2018/4/21,2016/3/26,2015/4/16,2013/5/30,2011/4/14,2009/6/3"
17-41-66,2,"2017/8/8,2015/8/13"
16-40-71,2,"2020/6/4,2015/10/29"
25-30-33,2,"2017/9/14,2011/11/17"
19-83,11,"2022/5/14,2021/12/28,2018/7/5,2018/5/29,2018/3/3,2017/5/11,2015/12/10,2015/7/7,2012/12/4,2010/6/22,2010/2/20"
15-43-48-54-55-76,1,2013/12/23
69-72,8,"2021/2/27,2020/2/18,2020/1/23,2017/9/23,2011/8/2,2010/10/23,2009/10/6,2009/7/23"
72-74,6,"2021/8/14,2018/9/20,2017/12/14,2015/2/10,2011/5/24,2009/8/4"
47-49-77,2,"2018/1/30,2009/10/20"
19-48-65,2,"2017/2/14,2010/6/10"
7-28-57,2,"2015/8/29,2011/7/12"
33-42-86,2,"2022/8/25,2016/6/14"
12-24,8,"2020/10/10,2019/8/22,2017/1/14,2014/8/14,2013/1/15,2012/11/15,2012/1/5,2009/6/30"
74-79-80,5,"2018/5/17,2017/3/18,2017/3/14,2017/1/19,2013/1/8"
24-50-53,2,"2021/1/14,2012/12/22"
26-32-42-46-78-82,1,2013/3/7
10-59-61,2,"2019/2/16,2015/4/28"
53-80,5,"2019/10/31,2018/7/26,2017/3/14,2013/1/24,2012/12/22"
2-21-38-74-79-83,1,2017/2/7
2-15-79,2,"2019/6/6,2019/5/23"
32-41-50-57-67-89,1,2021/10/16
32-48-54,2,"2017/6/8,2013/5/21"
47-51-85,3,"2022/8/23,2020/12/15,2016/4/30"
25-49-68,2,"2022/8/2,2021/10/26"
4-9-10,2,"2017/4/22,2013/11/5"
2-52-67,2,"2020/11/26,2009/1/22"
63-74-85,2,"2017/1/24,2013/5/4"
14-59-64-75-80-83,1,2010/8/21
3-9-58,2,"2022/3/5,2011/9/3"
19-21-61,3,"2021/1/12,2013/11/7,2013/8/22"
6-41-80,2,"2021/12/27,2013/2/12"
41-56-72,2,"2017/11/21,2016/3/19"
1-28-57,2,"2020/2/22,2019/5/2"
27-33,7,"2019/8/3,2018/10/6,2014/5/29,2014/4/29,2013/9/24,2012/5/19,2009/2/5"
11-67-85,2,"2019/5/16,2014/4/24"
5-14-54-55-66-78,1,2020/1/9
32-63-83,2,"2019/3/23,2017/2/11"
10-61-80,2,"2021/12/27,2019/2/16"
2-14,5,"2018/7/14,2016/2/23,2015/10/3,2013/12/21,2013/8/8"
79-87,11,"2021/12/21,2020/12/24,2020/1/18,2019/10/8,2018/11/3,2012/12/18,2012/10/4,2011/6/21,2011/5/24,2010/6/15,2009/7/9"
9-15-51-70-78-86,1,2019/3/9
5-35-40,2,"2021/2/4,2010/3/2"
11-41-67-70,2,"2016/9/29,2012/11/20"
70-74-82,2,"2020/7/14,2013/12/28"
12-26-63,2,"2012/11/24,2012/4/19"
36-61-89,2,"2021/3/6,2013/9/21"
9-10-26-27-77-86,1,2021/10/21
3-8-16-28-42-65,1,2019/12/28
3-33-85,2,"2014/2/4,2010/10/21"
12-27-39,2,"2020/9/19,2013/1/26"
28-30-39,3,"2015/3/14,2012/2/21,2009/11/17"
42-59,7,"2022/9/15,2021/2/23,2019/2/16,2017/6/22,2016/4/7,2014/9/23,2009/10/29"
48-67-84,2,"2016/8/23,2013/5/11"
10-63,8,"2021/7/22,2019/8/8,2018/3/27,2017/12/5,2016/4/28,2016/2/6,2010/8/31,2010/1/2"
2-4-34,2,"2010/5/6,2009/4/4"
21-40-46,2,"2020/8/6,2015/3/26"
43-73,8,"2020/5/5,2018/8/28,2013/3/16,2012/9/8,2012/2/9,2010/5/25,2009/11/12,2009/2/14"
34-84,6,"2018/9/15,2018/7/26,2016/9/6,2016/8/2,2011/4/23,2010/7/6"
43-48,11,"2021/10/30,2021/8/24,2021/5/4,2021/3/16,2020/12/3,2018/11/20,2018/3/20,2017/1/26,2013/12/23,2013/3/16,2009/5/23"
41-65-71,2,"2022/6/4,2015/4/28"
2-79,15,"2022/7/19,2019/7/20,2019/6/6,2019/5/23,2019/2/28,2018/8/21,2017/2/7,2017/1/7,2015/8/6,2014/11/13,2013/8/8,2011/12/17,2011/7/7,2011/6/21,2009/4/9"
19-35-59,2,"2021/8/21,2017/10/12"
6-82,14,"2021/11/25,2021/7/27,2020/11/21,2019/3/5,2017/7/8,2015/2/24,2013/8/27,2013/6/25,2013/1/29,2012/4/28,2010/4/10,2009/12/22,2009/6/16,2009/2/28"
2-11-37-45-48-66,1,2011/3/29
8-12-51,2,"2019/10/26,2017/11/9"
14-47,13,"2022/2/12,2021/8/10,2021/7/31,2021/1/9,2019/3/26,2016/10/31,2016/5/24,2014/2/20,2014/1/7,2013/11/19,2011/3/10,2009/6/16,2009/6/9"
18-26-70,2,"2014/11/27,2010/5/8"
13-52-64,2,"2012/5/8,2009/12/22"
27-55,9,"2022/5/28,2021/11/2,2018/5/26,2018/4/5,2013/5/25,2012/1/24,2011/8/16,2010/1/12,2009/1/29"
57-72-77,2,"2018/3/1,2012/8/7"
20-24-26-33-42-80,1,2015/6/23
13-62,5,"2021/7/10,2018/5/22,2017/2/4,2013/4/23,2009/5/30"
3-5-11-14-38-79,1,2013/8/19
1-84-85,2,"2021/6/19,2012/9/22"
6-21-37-55-84-88,1,2012/3/22
33-52,8,"2019/11/14,2016/2/25,2014/5/29,2014/4/29,2013/4/2,2011/5/5,2009/10/10,2009/2/19"
28-52-86,2,"2021/3/25,2017/8/17"
42-43,6,"2022/4/7,2021/6/17,2013/10/3,2012/9/8,2011/12/29,2011/8/23"
24-73,12,"2022/7/7,2022/5/24,2021/7/8,2020/10/10,2020/7/7,2018/11/22,2017/12/18,2016/12/6,2016/10/18,2014/8/14,2012/1/19,2009/1/8"
32-51-74,2,"2022/4/12,2017/1/19"
13-89,5,"2022/9/1,2022/5/19,2020/9/24,2018/7/12,2010/6/5"
2-12-32-57-61-81,1,2016/1/21
29-54-72,3,"2014/8/2,2010/9/14,2009/8/11"
12-36-45-67,2,"2018/3/6,2015/11/26"
20-42-83,2,"2019/9/26,2011/12/29"
58-61,3,"2016/8/6,2009/8/8,2009/2/7"
77-82,7,"2022/5/5,2019/11/19,2019/9/28,2018/5/3,2018/3/1,2017/5/6,2009/8/18"
35-41-53-60-65-80,1,2019/10/31
1-13-28-33-37-65,1,2019/4/9
25-79,11,"2020/12/24,2019/10/8,2017/4/29,2014/12/11,2014/6/3,2013/11/26,2012/10/4,2012/2/14,2011/11/12,2010/7/10,2009/12/24"
69-79-86,2,"2015/4/16,2010/6/8"
15-37-46-52-64-89,1,2013/3/26
28-67,5,"2021/2/2,2019/8/19,2016/8/23,2016/3/26,2015/6/3"
42-88,7,"2022/8/25,2021/10/19,2019/2/2,2016/7/23,2014/10/2,2014/6/24,2013/12/5"
48-67-90,3,"2019/12/24,2019/7/16,2010/9/7"
2-9-44-47-52-54,1,2020/9/15
18-25,12,"2021/2/20,2018/9/4,2017/9/14,2017/2/9,2016/11/15,2016/10/31,2016/10/8,2016/6/23,2015/7/30,2013/1/29,2012/9/18,2011/2/17"
8-25-65,2,"2018/10/16,2010/3/11"
25-30-47,2,"2018/2/8,2015/4/9"
41-56,12,"2022/3/12,2021/4/27,2020/3/12,2018/1/13,2017/11/21,2016/3/19,2016/1/2,2012/10/18,2012/10/6,2012/1/19,2009/8/6,2009/7/7"
34-40,8,"2019/3/2,2018/11/15,2018/8/23,2018/2/15,2016/6/11,2016/2/16,2015/6/6,2014/1/16"
23-83,9,"2022/8/4,2021/5/11,2016/10/27,2016/6/28,2013/10/29,2012/3/31,2012/3/8,2011/10/11,2009/12/17"
1-26-39-43-73-89,1,2018/8/28
16-21-62,3,"2017/3/16,2014/4/22,2009/12/29"
11-52,6,"2022/9/6,2018/3/29,2016/1/16,2014/7/12,2014/1/11,2013/11/30"
48-81,5,"2022/2/5,2017/9/23,2015/12/28,2013/3/16,2010/12/21"
28-33-78,2,"2018/10/6,2015/4/30"
2-27-28-38-43-65,1,2021/1/19
30-62-70,2,"2011/2/1,2009/12/9"
58-68,11,"2022/3/5,2021/7/13,2021/4/27,2021/4/20,2020/2/22,2019/10/5,2019/3/28,2015/1/3,2014/5/13,2013/8/20,2011/1/29"
24-52,5,"2022/2/26,2016/6/18,2014/9/16,2013/6/20,2011/11/19"
28-88,7,"2021/10/19,2021/6/26,2017/11/28,2016/3/31,2014/10/25,2013/12/5,2011/12/20"
23-36-38-52-62-63,1,2009/6/25
56-63-66,2,"2022/7/12,2011/4/7"
3-9-28-42-50-79,1,2016/1/12
9-61-83,2,"2018/11/20,2016/6/9"
25-32-85,2,"2015/8/11,2010/9/23"
20-75,7,"2017/6/24,2017/5/4,2016/11/12,2016/5/5,2014/2/13,2013/11/26,2009/12/5"
15-77-90,3,"2015/12/31,2012/10/25,2012/1/7"
57-72-89,2,"2015/12/29,2013/7/16"
15-68-80,2,"2019/8/10,2017/9/28"
59-61-63-65-71-84,1,2018/9/11
19-48,15,"2022/10/25,2022/1/15,2021/2/9,2019/6/1,2017/2/14,2016/12/24,2016/2/27,2015/5/12,2014/12/18,2013/3/16,2010/12/21,2010/10/14,2010/6/10,2010/5/20,2009/1/2"
42-53,2,"2020/6/13,2013/1/31"
31-89,9,"2021/9/7,2021/7/29,2020/9/8,2018/11/27,2018/2/10,2016/8/11,2014/7/1,2014/3/22,2012/12/29"
11-15-20-40-69-73,1,2021/7/6
21-53-89,2,"2017/4/6,2014/6/17"
6-55,11,"2020/11/21,2020/8/8,2017/4/15,2017/1/21,2015/6/16,2013/5/25,2012/6/23,2012/3/22,2011/8/16,2010/9/30,2009/10/24"
29-38-86,2,"2020/10/15,2014/8/2"
15-16-49,2,"2019/9/10,2017/1/31"
28-89,10,"2021/5/6,2021/3/16,2020/9/24,2020/9/8,2018/6/28,2017/3/7,2015/11/19,2015/3/14,2014/12/18,2009/4/30"
4-9-22-23-47-73,1,2009/5/12
1-8-28-54-82-90,1,2017/8/1
19-59-68,2,"2016/6/16,2014/2/27"
55-65-86,2,"2020/2/15,2009/1/29"
58-90,6,"2019/4/16,2019/3/28,2014/11/6,2012/10/11,2011/8/6,2011/7/19"
34-82,13,"2022/5/31,2021/11/30,2019/6/27,2018/2/15,2016/5/7,2014/2/22,2013/2/19,2012/9/4,2012/6/9,2012/4/28,2009/10/10,2009/9/26,2009/7/18"
31-77,14,"2022/8/20,2022/7/26,2022/6/7,2022/5/5,2021/12/18,2021/5/29,2018/5/3,2015/11/10,2014/2/15,2012/9/27,2011/1/11,2010/10/16,2009/11/26,2009/6/18"
34-86,10,"2019/2/5,2017/11/7,2017/8/22,2016/5/26,2014/8/12,2013/6/18,2013/1/17,2011/1/13,2010/7/10,2010/2/18"
3-11,7,"2022/10/1,2022/7/14,2018/2/13,2014/7/10,2013/8/19,2013/1/5,2012/8/18"
40-84,6,"2017/2/25,2015/10/29,2015/3/26,2013/7/27,2013/1/15,2009/5/9"
19-61-89,3,"2018/1/2,2013/8/22,2012/4/26"
25-65-78,3,"2011/7/28,2011/2/5,2010/3/11"
2-52-80,2,"2016/10/6,2011/3/22"
10-41,8,"2021/12/27,2021/3/30,2018/1/13,2015/4/28,2014/5/20,2013/3/12,2011/12/1,2011/2/8"
2-9-15-22-47-65,1,2018/6/16
6-51,10,"2022/1/15,2018/6/26,2017/7/22,2016/9/8,2015/10/22,2012/12/24,2012/4/28,2012/3/1,2011/7/5,2011/7/2"
20-24-40,2,"2013/5/18,2010/2/9"
6-39-68,2,"2017/9/28,2016/12/12"
59-86,10,"2022/9/29,2022/6/6,2021/8/21,2018/9/8,2017/4/11,2016/7/7,2015/7/9,2015/1/31,2014/2/27,2011/1/13"
52-53,8,"2022/3/17,2021/6/29,2020/8/27,2017/12/30,2014/5/27,2012/4/10,2011/11/19,2011/3/18"
8-13-39,2,"2019/8/17,2011/11/10"
16-29-31-73-76-82,1,2020/5/28
2-9-54,2,"2021/6/12,2020/9/15"
48-86-89,2,"2018/2/27,2017/3/23"
17-19-28-34-38-82,1,2014/2/22
3-18-34-37-40-47,1,2014/1/16
2-9-47,2,"2020/9/15,2018/6/16"
2-84-87,2,"2020/5/16,2015/1/20"
25-32,9,"2022/5/24,2019/4/2,2018/9/8,2016/5/5,2015/8/11,2015/2/12,2011/11/12,2011/2/5,2010/9/23"
3-71-76,2,"2016/10/27,2014/6/14"
6-55-63-68-76-80,1,2017/1/21
25-87-89,2,"2016/8/13,2015/11/19"
11-82,11,"2022/10/1,2021/11/30,2019/12/10,2018/3/10,2015/9/12,2014/12/6,2014/4/8,2012/4/28,2012/4/21,2011/6/23,2009/10/13"
9-29-43,2,"2019/9/7,2009/5/23"
52-59,13,"2022/2/10,2020/6/23,2020/3/21,2019/12/5,2019/9/14,2019/8/31,2019/3/21,2017/7/25,2016/10/6,2016/5/12,2015/4/21,2013/3/5,2009/10/29"
45-70-81,3,"2018/2/22,2013/9/5,2011/9/17"
19-26-55,2,"2020/10/27,2020/7/30"
6-10-69-78-83-86,1,2010/8/14
20-23-28-51-65-81,1,2015/11/28
42-49-68,3,"2022/1/8,2018/5/29,2012/3/6"
24-64,6,"2018/9/25,2018/1/8,2016/12/6,2013/7/6,2013/2/14,2009/1/3"
18-67-90,2,"2011/8/4,2010/5/8"
21-54-82,2,"2015/12/9,2014/12/6"
40-60,5,"2021/11/13,2019/1/24,2016/1/5,2015/9/19,2015/2/17"
25-55-85,2,"2014/11/22,2009/1/17"
63-82,8,"2022/5/31,2022/1/29,2015/12/9,2013/8/27,2011/2/15,2009/11/14,2009/6/16,2009/2/17"
23-71-74,2,"2021/5/29,2011/11/8"
18-47-51,2,"2018/9/4,2010/10/12"
15-36,7,"2021/5/15,2020/9/12,2019/7/13,2014/9/20,2014/2/18,2011/4/30,2009/8/27"
5-43,11,"2019/2/9,2018/1/4,2017/11/30,2014/7/8,2014/3/15,2012/9/8,2012/8/18,2011/6/28,2010/5/4,2009/10/13,2009/4/14"
21-24-25-61-73-74,1,2021/7/8
66-73,11,"2022/7/7,2021/11/13,2021/10/5,2017/12/16,2017/9/5,2015/1/27,2014/4/1,2013/12/3,2013/11/28,2012/8/2,2009/11/12"
27-33-40-52-76-86,1,2014/4/29
5-65,7,"2019/10/15,2018/8/2,2018/6/14,2013/10/5,2012/11/27,2010/11/20,2010/1/19"
15-64,9,"2022/3/31,2022/2/22,2019/6/8,2018/3/10,2018/1/8,2013/3/26,2013/1/24,2012/7/5,2009/9/5"
52-89,11,"2022/4/9,2019/1/5,2018/3/8,2017/3/2,2016/3/8,2015/11/19,2014/12/18,2013/11/30,2013/3/26,2011/9/15,2010/12/18"
3-51,6,"2018/10/27,2018/7/7,2016/5/28,2014/7/10,2012/5/26,2009/10/15"
53-77-84,3,"2020/1/30,2015/12/3,2009/3/7"
11-24-39,2,"2014/8/12,2009/5/21"
5-61,5,"2021/1/12,2020/10/3,2020/5/23,2013/8/10,2013/6/8"
5-23-35-54-56-62,1,2014/1/21
9-72-77,2,"2021/10/9,2018/3/1"
5-79,12,"2021/5/6,2020/10/3,2020/8/17,2019/10/12,2018/12/15,2018/6/14,2018/2/17,2014/12/30,2013/8/19,2012/7/19,2011/1/15,2009/12/24"
10-34,9,"2022/1/13,2021/4/24,2017/12/5,2017/5/23,2016/2/16,2015/9/10,2015/2/28,2010/7/10,2009/8/17"
3-10-18-25-50-68,1,2012/9/18
22-46-56,2,"2020/3/12,2011/4/7"
12-64,6,"2022/10/31,2016/8/16,2014/12/13,2014/3/27,2011/4/19,2011/3/3"
4-35-46,2,"2019/10/3,2016/9/3"
13-68,7,"2020/3/14,2019/6/18,2016/1/30,2011/12/3,2010/6/29,2010/5/11,2009/1/24"
34-49,12,"2022/9/6,2022/1/18,2021/8/7,2021/7/20,2016/9/22,2015/12/5,2013/9/17,2012/10/27,2012/8/18,2010/7/29,2010/2/18,2009/12/3"
23-56-78,2,"2014/5/22,2011/9/24"
56-65-82,2,"2012/11/27,2009/2/28"
11-19-37-41-62-77,1,2014/9/18
2-12-59,2,"2016/10/6,2016/4/9"
32-34,12,"2022/8/11,2019/7/23,2018/8/23,2016/6/30,2016/5/26,2016/5/7,2013/6/18,2013/3/5,2010/5/15,2009/9/17,2009/7/18,2009/2/19"
79-90,14,"2021/7/20,2020/12/24,2019/10/12,2018/10/4,2017/10/3,2017/5/16,2015/4/14,2014/4/19,2014/3/1,2014/2/6,2011/5/24,2011/1/15,2010/3/13,2010/2/25"
19-31,6,"2022/8/20,2018/5/3,2015/11/12,2015/7/7,2014/3/22,2012/3/3"
11-45-57,3,"2022/8/30,2017/11/14,2012/3/29"
5-59,16,"2022/10/18,2022/6/11,2022/1/22,2022/1/4,2021/9/21,2021/5/25,2020/10/3,2020/3/21,2019/10/15,2017/4/11,2016/6/28,2016/4/9,2015/1/27,2014/7/8,2011/11/2,2010/1/19"
